angDist,#,main_id,main_type,other_types,sp_type
0.058551,1563,CPD-63  2495,HMXB,V* |UV |HXB|Rad|Psr|*  |Psr|gam|X  |V* |Em*|IR |Be*|*,O9.5Ve
0.003247,1564,HD 113120,Be*,** |Be*|*  |Be*|Em*|UV |IR |*  |V*,B2IVne
0.430660,1564,TYC 9249-2379-2,Star,*,
0.028970,1565,HD 113260,Be*,Be*|Em*|*  |IR,B8/9III
0.039536,1566,HD 113573,Be*,Be*|Em*|*  |UV |IR,B3/5V
0.068309,1567,HD 113605,Be*,*  |Be*|Em*|*  |IR,B2/3ne
0.066844,1568,THA 17-14,Em*,*  |Em*|*  |IR,OBe
0.040331,1569,HD 114200,Be*,*  |Be*|Em*|*  |IR,B0/2(V)e
0.005987,1570,HD 114441,Be*,*  |Be*|V* |Em*|*  |UV |IR,B2Vnne
0.091512,1572,HD 114516,Be*,Be*|*  |Em*|*  |UV |IR,B0(Ve)
0.074080,1573,CD-60  4547,Be*,*  |Be*|Em*|*  |IR,OB+
0.086556,1574,HD 114757,Be*,Be*|Em*|*  |IR,B6/8V(e)
0.034696,1575,HD 114800,Be*,V* |*  |Be*|V* |Em*|IR |*  |UV,B2III/Vne
0.054023,1576,HD 114981,Be*,Be*|Ae?|Be*|V* |Em*|UV |IR |*,B5V
0.010864,1577,CD-60  4575,Be*,V* |*  |V* |Be*|*  |IR,B1IIIne
0.059726,1578,HD 115114,Be*,V* |*  |Be*|Em*|IR |*,B1III:ne
0.080784,1579,HD 115532,Be*,Be*|Em*|UV |*  |IR,B6/7V
0.062398,1580,HD 115746,Be*,V* |Be*|Em*|IR |*  |V*,B2/4III/V
0.030174,1581,HD 115805,Be*,*  |Be*|Em*|*  |UV |IR,B1:Vnne
0.039431,1582,HD 116421,Be*,Be*|Em*|*  |IR,B7Vn
0.028651,1583,HD 116422,Be*,Be*|Em*|*  |IR,B5(ep_sh)
0.004389,1584,HD 116781,Be*,V* |*  |*  |V* |Be*|** |Em*|IR,O9/B1(I)e
0.019639,1585,HD 116827,PulsV*bCep,IR |bC*|V* |Be*|Em*|*,B2/5(Vn)
0.038971,1586,HD 116875,Be*,Be*|*iC|Em*|*  |UV |IR,B8V
0.014463,1587,HD 116849,Be*,V* |*  |Be*|V* |Em*|*  |IR,B1Vpe
0.020496,1588,CD-60  4701,Pec*,Pu*|*  |Pe*|Be*|V* |*  |*iC|IR,B3V
0.005645,1589,HD 117111,Be*,Er*|*  |Em*|V* |IR |*  |Be*,B2(V)ne
0.059805,1590,HD 117172,Be*,Be*|Em*|*  |IR,B9II/III
0.043579,1591,HD 117357,PulsV*bCep,bC*|V* |*  |Be*|Em*|*  |UV |IR,O9.5/B0V
0.014945,1592,HD 117411,Be*,Be*|Em*|*  |IR,B8V
